n_above_p97_5,n_above_p99_9,sd_of_S,median_gap,r_squared,leaveout_r_squared
8,2,1.3990355680169078,39.52598995189337,0.585485706884588,0.5881007012054214
0,0,0.9912268675152038,39.64844768199749,0.5975886372146878,0.6045025898616456
3,1,1.2492452419577775,41.579215186396276,0.5940732054126161,0.5989856192518601
2,1,1.3001784035246557,39.534483439425536,0.584311033787835,0.5796997770011442
3,0,1.2655884720591504,39.72238861454742,0.6077314211465856,0.6191394646435968
2,0,1.2149989520996538,41.16471567811361,0.576669272973244,0.5660240530370753
9,1,1.4618394907992642,38.88374350888728,0.5749237018698719,0.5575714275408092
2,0,1.1323444425740705,40.69565822008032,0.5903826037895099,0.5935294656208494
0,0,1.118720894111266,39.2015489762822,0.5818254087693104,0.5753875886779058
3,0,1.214258731830614,39.667071572234015,0.5810657038266698,0.5678469395798083
8,1,1.4536107894358532,40.81981989595664,0.5749975724886156,0.5670680721118666
0,0,1.1981117361900133,38.696221596419036,0.588034670110217,0.5880083426600251
3,1,1.3263821482008014,39.20229628079438,0.5844554454195375,0.5747462109211254
3,0,1.1630164830652379,38.374434277738224,0.5824671811635883,0.5730049736547503
2,0,1.1846251582165008,39.9861871243837,0.5824785565138011,0.5786189336849175
5,0,1.2917347008064535,40.3201876027922,0.5739517909603266,0.5594595539200412
1,0,1.1299487773987908,40.419326047494465,0.6040827178374241,0.6184800626535851
2,0,1.2556251969773649,39.59216617662968,0.5980046106519727,0.6050056987820382
2,0,1.0969773273165992,40.036643159145314,0.5962266135724343,0.6017832800622771
1,0,0.9725795474268285,39.86233182213438,0.5849632233218061,0.5808945729975306
7,1,1.4922525305132543,39.58608421608564,0.5867378345722518,0.5848267540661358
2,0,1.2155167465112187,40.27717241334599,0.58979749995882,0.5906326799482302
2,0,1.1992539833934954,39.91853097835391,0.5712067642875676,0.559307398935873
3,0,1.2249080550267444,39.94075910421366,0.5921447484251698,0.5911990068793638
0,0,1.0798111491576323,39.71231530435726,0.5727630855559938,0.554723699940433
1,0,1.16849905771373,39.688548632458954,0.5968899844730093,0.5991193886337809
0,0,1.0539666832252346,39.56278452369819,0.5924013297733332,0.5983411959678459
5,1,1.2833625719947237,40.457945102850466,0.5996724227369352,0.6105712955817052
4,0,1.3207069929377273,39.31368021427618,0.5933662456430261,0.5912566316614484
1,0,1.2372957167181053,39.50460392640799,0.5824833859564849,0.5767422611495341
4,0,1.2605150370427793,40.35431506227582,0.56977219912327,0.5551912211648398
0,0,1.1478801996086827,38.24540831405439,0.5901602915157333,0.5883135266183682
4,0,1.2056604653972325,40.68970114210394,0.5801148146900379,0.5662985458701477
2,0,1.0470276366263598,39.29966749507548,0.5981384963015299,0.6026392046260896
4,1,1.252677627716064,40.50637994894938,0.5949663114396153,0.5970674316752156
2,1,1.2403269262449383,39.85205593195267,0.5936954965974411,0.597793461023093
2,0,1.136965522534551,40.05088660267935,0.5811353520479206,0.5844342046487039
1,1,1.2408769374517254,40.61523812775412,0.5922728552434767,0.5953520450518066
3,0,1.263336817540521,40.274185852776625,0.5910664274931503,0.5958988099358267
1,0,1.1897342016945078,40.73859196402556,0.606642011241457,0.6165400150929381
3,0,1.2453732590582915,39.515123471383816,0.5886107317275424,0.5887218883314473
3,0,1.1960884797740838,39.84786883201137,0.5811566564853745,0.5748893703577533
2,0,1.0807582950049757,40.61600505045869,0.5876898329829197,0.5839171502048375
0,0,1.2147053623624646,40.606209401502,0.5973546530721989,0.6111687110574706
2,0,1.0793430493964749,40.264024062394746,0.587872868238325,0.5875291557352487
0,0,1.1728937045785217,39.52500404216669,0.5862760787178343,0.5862567177100293
1,0,1.2476044481172386,39.80363257729162,0.5999550916407603,0.6092350614909867
4,0,1.2377420299082464,39.218939849082446,0.5844390642068533,0.5848951559743736
5,0,1.4018721978272446,39.89847852461236,0.5771500714383563,0.556547965196359
5,0,1.2331326614796494,38.48595310463884,0.5884136364894426,0.58831151194022
6,0,1.417633866647382,39.34757760023111,0.5955046432190043,0.5884749849606767
2,0,1.249843775496246,38.84823128641711,0.5978215030793235,0.6002823484843818
1,0,1.344004788840834,40.36973842645776,0.5836608696011205,0.5753253378615862
3,0,1.2793631340464406,40.074316999712934,0.5922116240549212,0.5870535803934459
7,2,1.4296509875617553,40.36335650454731,0.5836282071792156,0.5801395935057495
1,0,1.2855793434862821,39.002025028730635,0.5818419864118858,0.5836258803002765
3,1,1.4360677938088378,40.49341617087414,0.5855822083473651,0.5848470557613343
1,0,1.0444666908081894,39.78491262087436,0.5772108564633966,0.5688951667374904
2,0,1.151135980957685,40.26076400023284,0.5848498004491176,0.5777089030038864
2,0,1.2324614530600457,40.42975423273445,0.5840031861401334,0.5745449252812821
4,1,1.257747060058463,39.25658051103045,0.5803566707104205,0.5707829467371606
4,0,1.2202763699334422,41.15160936475619,0.5785729382419789,0.5632404104008711
2,0,1.1490992934035946,38.87511846266898,0.5828563486680355,0.5747330252181575
2,0,1.1302602007283484,39.558039844906446,0.596734645603052,0.600096819461766
5,0,1.2592590588810872,40.16198223341642,0.5825672718475319,0.5750548736253551
3,1,1.262675597622393,39.63975279694001,0.5905658928741653,0.5869669781897275
3,0,1.229959500786351,39.404368372178986,0.5874389170701655,0.5864853788560069
2,0,1.1539228188735724,39.71122791098107,0.5941538710518082,0.5967146745404256
6,0,1.3344999796130093,39.02527913982923,0.5842275450610134,0.5729711512754836
3,0,1.149326561367606,39.795449496388756,0.5924302638605754,0.5926739532682077
2,0,1.2125734671750183,39.3065560969709,0.5878166861121431,0.5852664476184168
8,0,1.3533236548678618,40.88868979862747,0.5901966695272373,0.5870080277901043
1,0,1.1407719648588734,40.216911773549846,0.5836397072889581,0.5783484423453801
2,0,1.168755824425735,39.29796719718922,0.5839791417109046,0.5853900172030234
