moving_unscreened_5,moving_unscreened_10,moving_unscreened_21,moving_screened_5,moving_screened_10,moving_screened_21,circular_unscreened_5,circular_unscreened_10,circular_unscreened_21,circular_screened_5,circular_screened_10,circular_screened_21,stationary_unscreened_5,stationary_unscreened_10,stationary_unscreened_21,stationary_screened_5,stationary_screened_10,stationary_screened_21
4.721028033530245,4.363544718261247,1.6201553823408126,4.826725186313001,4.751303523173666,2.1602319285685105,6.675143117872869,4.34397937533314,3.008487701929473,6.913240863775664,4.49890183535249,3.4835326294685767,8.008671040482646,1.949237554526998,7.859530849766069,8.713628870262106,2.3944796103416834,8.812919934148978
9.452578989710805,3.1073052504514966,2.8469297387540773,10.051580820162833,3.1361160721654695,3.731793592050139,4.081718234886366,4.077909014969614,2.7597930868225045,4.602091209535283,4.497857035185699,3.4743330194298423,3.0936220083181514,7.758999489390149,2.5099800631234617,3.487469399418468,8.16368907859576,2.6428500120391343
1.7525600051621253,6.821474996815936,3.9198885712617786,2.126948577361021,7.526895000922733,4.446919018545092,4.541157128281152,4.609434996484409,5.277686208809372,4.86633459036319,5.1394548572553935,5.431754100414235,1.7278807769327325,2.7056733864340052,3.911411100866609,2.374444407821204,2.858240236011103,4.421271671853696
3.2792167365178986,1.2324732793649864,2.750970419938033,3.8088505308236718,2.468111641325864,3.3676046306900593,3.5935959502279857,0.7692224822936627,1.5503271246410715,3.796826387074315,1.316949495883657,2.1004599742654677,2.9217251551917394,8.324233548225191,2.168001904597387,3.4323495763520677,8.513855383288362,2.3639762129522577
5.910397162822084,1.4114047145584643,1.6465645522931909,8.121818300318834,1.7748968569094956,1.6177398387737156,4.611094149566639,1.2192901740249622,2.8461679745540156,6.267331877096906,1.8405077226327218,3.6319608513346693,7.082757410712288,3.1195317550779267,2.3445333827386783,7.585625305756692,3.659001864558357,2.984112826071729
4.085161166206808,1.8582053178260343,1.8090898084775693,4.82222531279051,2.3858627263531185,2.5465599367776597,5.327584821207559,1.436990620529646,3.5398292625672267,6.721969924164577,2.091605489889717,3.8352001066301304,2.72484474360899,1.089605115344408,1.1762634147668192,2.7441575569764725,1.8081618340811425,1.8020583978132647
1.210861844973738,2.465811375778422,2.1864690773185878,1.448587722685255,3.8923668030164253,3.0904642268201323,1.8343310795150225,2.5604980498444228,3.831389550118354,2.0489310003978174,3.1752553735743367,4.450176840507564,2.2862747134893477,2.8579151358651753,2.7047184050301647,2.456511864520808,3.472483557561807,3.1296449248755636
1.0201570903810213,2.5143583364629944,2.5689964028727053,1.7346360568722508,3.2445653713639473,2.887910116165675,3.9106082078118,3.7798633555002494,2.8054832258013884,5.343728637137283,4.434744952795807,3.3433061307516545,6.927126291081141,2.9267294678266693,4.152773602598162,7.16837792125454,3.509065569430773,4.972205129371657
2.2625040653931072,2.936305672789441,2.2145894364505536,3.0211661693519436,3.34001765647572,2.7565445255793026,1.6967794556515978,2.108974246679316,4.952373624888421,2.382986228874454,2.7102478947841915,5.313196517545213,4.568713481358195,2.6456428668098257,2.8151187434016713,5.431421822154175,2.6176502611667547,2.949340860611778
2.5094230137464595,2.14728442682613,2.491026421993317,3.44193620214486,2.7965794195722227,3.2438576715175946,1.6124800735983922,5.434209866894834,2.9582691218723878,2.127347566173897,5.473393805710423,4.199497844451411,3.763466200183638,1.651158880769758,5.140880727210227,4.272498395748475,2.078322740183687,5.321243866956091
3.1734252319270784,5.821545053984441,2.793050669717501,3.73013226271963,5.901182471339061,2.934701882678615,6.129385822937419,2.4185687837287557,2.161475233992832,6.182797412830735,3.3476931855353644,2.823067561880224,5.819128942003658,1.5652675601444144,4.8345267369225375,5.883199147004799,2.857267564982799,5.074988977918747
2.0118272580122154,0.966651090572803,2.054899331204487,2.0979496523706636,1.9335493156286798,2.381205879553378,2.732447293592815,1.3211262900530758,3.292314622485851,2.895689762401921,2.174127094571447,3.6212443035575173,3.6038267949270426,2.445087166540211,3.5960681825340526,4.546391023609377,2.811320054919257,3.742614701331222
